SetsPlayed,AttackKills,AttackErrors,AttackTotalAttempts,AttackPCT,Assists,AssistErrors,AssistTotalAttempts,AssistPCT,ServeAces,ServeErrors,ServeTotalAttempts,ServePCT,BlockingDig,BallHandlingErrors,BlockSolos,BlockAssists,BlockErrors,ReceptO,ReceptErrors,ReceptPCT,TotalTeamBlocks,winrate,Set_win_ratio,SetsPlayed.1,AttackKills.1,AttackErrors.1,AttackTotalAttempts.1,AttackPCT.1,Assists.1,AssistErrors.1,AssistTotalAttempts.1,AssistPCT.1,ServeAces.1,ServeErrors.1,ServeTotalAttempts.1,ServePCT.1,BlockingDig.1,BallHandlingErrors.1,BlockSolos.1,BlockAssists.1,BlockErrors.1,ReceptO.1,ReceptErrors.1,ReceptPCT.1,TotalTeamBlocks.1,winrate.1,Set_win_ratio.1,winner
3.0,46.0,23.0,114.0,0.20199999999999999,45.0,0.0,114.0,0.395,1.0,7.0,56.0,0.875,37.0,1.0,0.0,2.0,0.0,69.0,2.0,0.972,1.0,0.0,0.0,3.0000000000000004,44.42105263157895,13.0,100.8421052631579,0.3262105263157895,41.31578947368421,0.0,99.26315789473686,0.4197368421052632,1.5263157894736843,4.894736842105264,65.47368421052633,0.9192105263157896,34.89473684210527,0.4736842105263158,1.0526315789473684,14.63157894736842,1.0526315789473684,57.94736842105264,1.4736842105263157,0.9762105263157896,8.368421052631579,0.5263157894736842,0.5263157894736842,0.0
3.0,43.0,4.0,89.0,0.43799999999999994,38.0,0.0,86.0,0.442,2.0,3.0,74.0,0.9590000000000001,33.0,0.0,2.0,26.0,2.0,48.0,1.0,0.98,15.0,1.0,1.0,3.5524861878453033,51.48706019191626,21.72346612387322,138.87641756324513,0.2384524571096249,48.788892119802284,0.0,137.41378307647574,0.3676286711253272,3.997964524571096,4.196859552195406,83.09508578075021,0.942909275952312,56.034603082291355,1.0261703983716195,3.3498109915673164,17.36493166618203,1.0235533585344576,74.69642337888922,3.974411166036639,0.9540820005815646,11.886885722593776,0.5045071241640012,0.4972375690607735,0.0
4.13945095494911,56.19822476998629,21.87828427156452,153.92997680121394,0.23954950817293025,53.14290196111909,0.0,151.63052251690826,0.3605656384788255,3.5719493169483463,4.885346349125724,88.77619253925332,0.9401075744996894,63.17015146438335,1.378372840986941,3.0158848725560707,17.729161108846487,1.5902373020259988,79.57879584001161,3.6006308703919894,0.95795434086209,11.591280927268498,0.5048136947534889,0.5090287455795321,4.0,52.0,25.0,164.0,0.165,52.0,0.0,165.0,0.315,6.0,6.0,95.0,0.937,67.0,1.0,9.0,21.0,1.0,93.0,6.0,0.9390000000000001,19.0,0.25,0.0,1.0
3.5263157894736845,54.94736842105264,28.263157894736853,146.63157894736844,0.1851578947368421,51.842105263157904,0.0,144.5263157894737,0.3644736842105264,3.631578947368421,3.842105263157895,79.15789473684211,0.9355263157894737,59.63157894736843,1.5263157894736843,0.5263157894736842,10.421052631578947,0.5263157894736842,76.36842105263158,4.105263157894736,0.9514736842105264,5.736842105263157,0.3947368421052632,0.5263157894736842,4.0929291709437825,56.07942088812832,22.28761274658128,154.93659910257318,0.2292175191177316,52.849413376181566,0.0,152.3507632633408,0.3539330593239417,3.732308178428146,5.6259256468797885,89.41272027550863,0.9342247891469077,64.55316441042842,1.2345868444203183,3.3617506026299213,18.451611855394667,1.0597233567535242,78.84139982528487,3.7163048680656297,0.9559854906334716,12.394845940301346,0.5075973764390282,0.5147958206234272,0.0
5.0,61.0,30.0,196.0,0.158,59.0,0.0,193.0,0.306,4.0,8.0,85.0,0.9059999999999999,71.0,4.0,2.0,13.0,4.0,102.0,2.0,0.981,8.0,0.4,0.0,4.065820376200324,56.486147837711094,20.637665181486952,154.40237169339247,0.24017780633550315,53.18505627822071,0.5834291744592991,147.21252552321658,0.3676017588981089,3.641510395056093,5.596867998442562,88.37111979102474,0.9346198168535401,66.55662758800071,1.150801040602863,3.102688681624893,16.43140197208141,1.3186623702919742,78.33494343398289,3.676235681753915,0.9560204300259949,11.11280527088844,0.5015427610751197,0.502802964253602,0.0
4.0483923017270085,57.56984895191435,20.008937540900927,155.4246397709525,0.2474331450944633,54.06976285327229,0.5543706440328795,143.54685088478232,0.3817267352239927,3.4437779321494717,5.829033463390663,88.74667488060258,0.9328948779588948,66.63221704023911,0.9854483627171708,2.8107161713834903,17.20907281233298,1.7638509139757628,78.92911608910076,3.525052230025385,0.9582168948683903,11.264103302302356,0.4976502867520057,0.4950928319537684,4.052631578947369,54.57894736842106,9.789473684210527,125.31578947368423,0.3737894736842105,49.57894736842106,0.0,121.7894736842105,0.4146315789473685,2.0,3.5263157894736845,91.89473684210527,0.9611052631578948,55.631578947368425,0.0,2.526315789473684,24.421052631578952,1.4736842105263157,61.15789473684211,2.578947368421053,0.9631578947368422,14.473684210526313,0.7894736842105263,1.0,1.0
4.0,57.26315789473685,25.0,159.78947368421058,0.20289473684210527,54.63157894736843,0.0,157.10526315789474,0.3492105263157895,5.473684210526316,7.578947368421053,94.47368421052632,0.9196315789473684,70.15789473684211,0.4736842105263158,6.894736842105264,19.421052631578952,0.4736842105263158,83.52631578947368,4.421052631578949,0.9511052631578948,16.368421052631582,0.5131578947368421,0.5263157894736842,3.7901113722003084,54.654680648585185,17.867301857755088,142.4574903553363,0.26980994059013,51.75754711577155,0.4177964198543333,133.6225986243471,0.39491591735376996,3.619707068411553,5.391400786032009,83.01316305184186,0.9343081661538564,60.252657120130564,0.7426742420908737,2.598022641401521,14.784739211773939,1.951691034940653,73.46184859446663,3.6031611134765775,0.9542606148819645,9.876479963617335,0.5047122927168617,0.5027848900483692,0.0
3.605845344545944,49.65357665952675,17.812327678351604,130.71458268981993,0.2488648921087593,47.18660912608754,0.4308303053847065,123.92784802754551,0.38570511228101423,3.6102012844551514,5.766550667016978,78.4685329365401,0.9232629054832471,54.891155122976116,0.8149610224289663,2.691769894867401,13.202434504852894,1.7297421645245372,68.46889252087671,3.560690636855042,0.9512539585696199,9.205640946268316,0.5097505577904777,0.5082726548329242,4.0,49.0,21.0,158.0,0.177,47.0,0.0,158.0,0.297,3.0,5.0,87.0,0.943,61.0,2.0,3.0,22.0,0.0,80.0,5.0,0.941,14.0,0.25,0.0,1.0
4.0,53.0,14.0,145.0,0.26899999999999996,48.0,0.0,122.0,0.39299999999999996,1.0,6.0,86.0,0.93,64.0,1.0,2.0,26.0,3.0,82.0,5.0,0.943,15.0,0.25,0.0,3.6939603131606438,51.40179533939018,20.042761582925948,140.16766961290554,0.23158728672995846,48.4626856295255,0.6757307973937681,134.76871250189328,0.3680043517514583,3.485554178499421,5.6187169999390765,82.41129983886267,0.9286753292061992,59.057125445885895,0.8445612659187666,2.948932314416984,13.427797765320001,1.8842875929867255,72.84692162336826,3.4235798174131866,0.9549034800347024,9.595011614995254,0.5105122826209071,0.5123062751912831,0.0
4.473684210526316,65.21052631578948,26.315789473684212,183.8947368421053,0.21484210526315792,62.68421052631579,0.5263157894736842,168.26315789473688,0.3828421052631579,4.526315789473684,7.473684210526316,89.73684210526315,0.9165263157894736,70.47368421052632,1.8947368421052635,2.0,12.47368421052632,3.4736842105263164,89.89473684210527,1.4736842105263157,0.9846842105263158,8.0,0.5842105263157895,0.5263157894736842,3.5438590434373687,49.44790701953438,18.804036876390786,135.6802464961909,0.2324962055621825,46.802995825937316,0.529572510303875,128.85350612388214,0.3707014262083293,3.2894581903690026,5.154753659121372,78.44038195785156,0.9317509390074878,58.21373502532165,0.6618855192379078,2.6298411367928494,12.936825413930835,2.04592418663434,69.41928604859127,3.206736576276735,0.9566433458993716,9.045103408008853,0.5139305277275736,0.5153364857697775,0.0
