SetsPlayed,AttackKills,AttackErrors,AttackTotalAttempts,AttackPCT,Assists,AssistErrors,AssistTotalAttempts,AssistPCT,ServeAces,ServeErrors,ServeTotalAttempts,ServePCT,BlockingDig,BallHandlingErrors,BlockSolos,BlockAssists,BlockErrors,ReceptO,ReceptErrors,ReceptPCT,TotalTeamBlocks,winrate,Set_win_ratio,SetsPlayed,AttackKills,AttackErrors,AttackTotalAttempts,AttackPCT,Assists,AssistErrors,AssistTotalAttempts,AssistPCT,ServeAces,ServeErrors,ServeTotalAttempts,ServePCT,BlockingDig,BallHandlingErrors,BlockSolos,BlockAssists,BlockErrors,ReceptO,ReceptErrors,ReceptPCT,TotalTeamBlocks,winrate,Set_win_ratio,winner
3.0,38.0,22.0,119.0,0.134,38.0,0.0,121.0,0.314,2.0,7.0,60.0,0.883,49.0,1.0,1.0,12.0,3.0,68.0,4.0,0.944,7.0,0.0,0.0,3.0000000000000004,40.10526315789474,18.31578947368421,117.42105263157896,0.18610526315789475,39.578947368421055,0.0,119.42105263157896,0.33136842105263153,3.0526315789473686,4.894736842105264,67.89473684210526,0.9235263157894738,51.63157894736842,1.0,2.578947368421053,12.000000000000002,2.473684210526316,59.05263157894737,2.9473684210526314,0.9534736842105263,8.578947368421053,0.5263157894736842,0.5263157894736842,0.0
3.0,42.0,15.0,116.0,0.233,41.0,0.0,118.0,0.347,4.0,3.0,75.0,0.96,54.0,1.0,4.0,12.0,2.0,51.0,2.0,0.962,10.0,1.0,1.0,3.552486187845304,47.403896481535334,22.59028787438209,133.87932538528642,0.18508752544344284,46.64495492875836,0.5815644082582145,137.36231462634487,0.3385507414946205,3.285257342250654,4.633032858389067,80.34021517883106,0.9388796161674905,52.41669089851702,1.232625763303286,2.549869148008142,19.90927595231172,1.921198022681012,71.99243966269265,3.2672288455946497,0.9563524280314044,12.359116022099448,0.5045071241640012,0.4972375690607735,0.0
3.733952394468999,51.76462729346784,21.56127189959002,143.29740971787973,0.2078026374480055,49.69144120591004,0.7725814678621048,144.3863184785694,0.34278790077663646,3.3616641660922104,5.336730273028583,84.53469040184908,0.9357698112724332,59.33327713265565,1.3517166461427483,1.9000574100593524,17.47038900117168,1.7397318160573159,75.70901850140537,3.3722882283767897,0.9573406465354416,10.54881669117443,0.49734398442885525,0.487686716080579,4.0,52.0,21.0,150.0,0.207,48.0,2.0,149.0,0.322,3.0,4.0,85.0,0.953,69.0,2.0,0.0,12.0,1.0,84.0,4.0,0.955,6.0,0.25,0.0,1.0
3.5263157894736845,54.10526315789475,17.105263157894736,141.78947368421052,0.2572105263157895,51.52631578947369,0.0,140.6315789473684,0.3638421052631579,4.0,6.157894736842105,86.57894736842105,0.9321052631578948,62.421052631578945,1.0,2.9473684210526314,14.105263157894738,2.0,65.21052631578948,2.526315789473684,0.9625263157894737,10.0,0.868421052631579,1.0,3.489100899704124,50.70186287254857,17.844819224543684,129.16914882108895,0.26466942273859245,48.61797565685375,0.6904255679466673,129.52606695393257,0.38371670990181267,2.942520271747655,5.505326796021701,78.96593082902216,0.9266109634706019,52.567516279440206,0.9007748087691317,1.7578164200168354,13.643789464694386,2.0021415623848453,70.1698931504892,2.8793670685756303,0.9627227372808509,8.522111308112743,0.5070091750116793,0.5005736368576778,0.0
3.638137619862935,50.55853283170275,19.88602963302582,135.49146636363326,0.23640812838936393,48.20740215327854,0.4890183583803089,134.7770021130234,0.3652677967671249,2.9285811482931075,7.154263319665675,81.93907537345133,0.9106033818069224,55.871831750337236,0.638005657242178,1.3832163225770107,16.726260743575917,1.556268256889311,71.83991356494323,2.945264253028146,0.9629110926558166,9.705549564903938,0.5011261465843577,0.4927295989545823,4.0,50.0,27.0,142.0,0.162,50.0,2.0,150.0,0.333,3.0,3.0,89.0,0.966,54.0,0.0,3.0,23.0,1.0,82.0,4.0,0.953,14.0,0.25,0.0,1.0
3.5263157894736845,48.00000000000001,23.57894736842105,136.8947368421053,0.17347368421052634,46.94736842105264,0.0,138.36842105263156,0.3366315789473684,3.0526315789473686,6.473684210526317,76.8421052631579,0.9103684210526317,50.578947368421055,2.0526315789473686,1.5263157894736843,21.473684210526315,2.473684210526316,75.89473684210526,3.473684210526316,0.9550526315789474,12.263157894736842,0.39473684210526316,0.5263157894736842,3.7339523944689996,53.323249138791866,20.515451261544584,140.57336643659121,0.2399373366480227,50.67488608815791,0.3595349239080949,135.78369014611636,0.37842207093827235,3.602479540728132,7.127353027620234,85.94087843675177,0.915070340272528,57.50839850878051,0.7477912868480155,1.3932347097262159,17.676704628035658,2.0639661760656964,75.18511315814978,3.6286811672635895,0.9563708184343974,10.201592254457628,0.5043119412417372,0.5016226297063426,0.0
3.5531365811903926,51.1430787466456,19.584556706524673,139.52447382864318,0.23079859075365836,48.56368194017283,0.400622899196151,130.28741831991326,0.37659357660672077,3.44108698886149,6.240204921327738,81.5728457651133,0.923040230975829,59.06876447596221,0.6802625284380276,1.2833915152526083,17.73041883675685,1.9185448729034984,72.00167255939787,3.4867661390068028,0.9558904759871265,10.125995647155081,0.4967665226561166,0.4947397473507233,4.0,55.78947368421053,22.263157894736842,150.42105263157896,0.2198947368421053,54.21052631578948,0.9473684210526316,144.73684210526318,0.3756315789473684,4.052631578947369,5.631578947368421,93.73684210526318,0.9407368421052631,54.0,1.0526315789473684,1.4210526315789476,24.578947368421055,2.0526315789473686,83.05263157894738,5.052631578947368,0.9424736842105265,13.473684210526317,0.5131578947368421,0.5263157894736842,1.0
3.424136690602272,48.74073455624453,17.913918254251563,133.08079758403207,0.23644272865923263,46.28418743830649,0.3071915263294725,123.08891087699743,0.3800024723068462,3.2400228746979405,6.6383414976622985,77.6955307740426,0.9114191835387752,57.46931869281478,0.7548301854164402,1.1068299044073702,15.976665161034365,2.048011836850069,67.70521194770491,3.23822548823188,0.956861154178036,9.0778290961702,0.5036578625458452,0.502103762166561,3.473684210526316,50.94736842105264,14.684210526315791,123.6842105263158,0.31384210526315787,46.94736842105264,1.4736842105263157,121.63157894736842,0.402,3.5263157894736845,3.473684210526316,79.21052631578948,0.9561578947368421,53.73684210526316,0.9473684210526316,0.5263157894736842,8.842105263157896,2.0526315789473686,67.15789473684211,1.8947368421052633,0.9786842105263158,4.947368421052632,0.6447368421052633,0.5263157894736842,1.0
3.552873410394367,51.44604802972403,17.650777818156126,139.4987456116222,0.24496824438800777,48.738583507980344,0.5561999674885132,130.9169670461633,0.37655447696524147,3.174598712783114,5.9426347647574405,79.56379660559995,0.9220443137034593,61.29424977734935,0.5860846506953588,0.8593933184400739,15.111196591067667,2.460855155142455,70.10078422491668,3.196735171511289,0.9575863886944559,8.40153317883216,0.5057816356048848,0.5075164650149082,3.701107011070111,54.80442804428045,21.125461254612546,146.29520295202954,0.2294575645756458,52.07011070110702,0.0,142.98154981549817,0.36279335793357936,4.369003690036901,6.837638376383764,90.05535055350553,0.9265313653136533,63.741697416974176,0.6309963099630996,2.2287822878228782,16.280442804428045,1.6309963099630995,66.23985239852398,1.96309963099631,0.9711881918819188,10.369003690036902,0.8247232472324725,1.0,1.0
3.43328876077879,51.0308164360355,17.02050337435522,133.30041118134764,0.2601272604090038,48.45360603348075,0.43589579481928464,126.30162552551944,0.38896836536380347,3.0457613406660946,4.976015867683216,77.47241166613468,0.9341473394847097,56.32408649501827,0.6642291088619242,1.0036463943158342,13.93735785181803,2.1448771236755246,69.03165393865768,3.028957660408768,0.9593948403440564,7.904857736110683,0.5102231036686159,0.5115826953420434,4.0,45.0,22.0,148.0,0.155,42.0,0.0,148.0,0.284,1.0,14.0,83.0,0.831,62.0,0.0,0.0,28.0,0.0,83.0,5.0,0.943,14.0,0.25,0.0,1.0
